employee_id,first_name,last_name,full_name,age,nationality,location,department,position,level,salary,bonus,arrears,conveyance_charge,monthly_lunch_plan,quarterly_spend_voucher,project_id
EMP-00001,Adam,Hanson,Adam Hanson,27,Australian,Manchester,Sales & Marketing,Sales & Marketing Lead,L7,134792,25808,3906,3204,3620,7630,PRJ-101
EMP-00002,Adam,Taylor,Adam Taylor,29,Indian,Delhi,Customer Support,Customer Support Analyst,L1,68768,5842,0,1110,1031,11085,PRJ-103
EMP-00003,John,Graves,John Graves,39,Canadian,Toronto,Data & AI,Data & AI Analyst,L6,122430,9842,0,3224,1944,6438,PRJ-101
EMP-00004,John,Bruce,John Bruce,41,German,Manchester,Sales & Marketing,Sales & Marketing Scientist,L5,144306,15798,4839,1413,3434,8699,PRJ-105
EMP-00005,Sally,Williams,Sally Williams,55,Australian,Manchester,Operations,Operations Lead,L10,82649,11441,0,3535,2085,8153,PRJ-103
EMP-00006,Michael,Flores,Michael Flores,57,Australian,New York,Finance,Finance Scientist,L6,138467,6937,0,1141,1337,10011,PRJ-105
EMP-00007,James,Johnson,James Johnson,33,Indian,Delhi,Finance,Finance Scientist,L3,99181,6248,0,3131,3802,4811,PRJ-103
EMP-00008,Stephen,Graves,Stephen Graves,23,British,Berlin,HR,HR Executive,L8,131073,16231,0,1692,3456,4545,PRJ-103
EMP-00009,Stephen,Johnson,Stephen Johnson,24,German,Manchester,Customer Support,Customer Support Associate,L9,129425,16671,0,1969,2122,13579,PRJ-101
EMP-00010,Sarah,Flores,Sarah Flores,44,Australian,Manchester,Customer Support,Customer Support Manager,L2,88413,10145,0,1446,1239,7084,PRJ-103
EMP-00011,Stephen,Oneal,Stephen Oneal,53,British,Sydney,Customer Support,Customer Support Analyst,L3,82607,16365,0,3921,2185,10178,PRJ-105
EMP-00012,James,Johnson,James Johnson,41,Indian,New York,HR,HR Lead,L8,95898,17783,0,1964,1777,13164,PRJ-101
EMP-00013,Stephen,Davis,Stephen Davis,35,British,Sydney,Product,Product Associate,L3,93036,5478,0,3594,1088,11677,PRJ-102
EMP-00014,Janet,Taylor,Janet Taylor,50,American,Toronto,Sales & Marketing,Sales & Marketing Director,L9,57324,7009,0,4528,3067,6980,PRJ-103
EMP-00015,John,Davis,John Davis,55,Australian,Berlin,Sales & Marketing,Sales & Marketing Executive,L6,115724,21227,2337,2462,3924,3193,PRJ-105
EMP-00016,Sarah,Hanson,Sarah Hanson,45,Indian,Delhi,Product,Product Analyst,L7,145984,15584,1274,4697,1534,3478,PRJ-105
EMP-00017,Victoria,Dixon,Victoria Dixon,26,Canadian,New York,Engineering,Engineering Executive,L6,103088,15766,0,4831,1116,12715,PRJ-103
EMP-00018,John,Bruce,John Bruce,60,American,Pune,Engineering,Engineering Analyst,L8,99200,9180,1248,4419,1935,8565,PRJ-103
EMP-00019,Adam,Hanson,Adam Hanson,52,British,New York,Data & AI,Data & AI Engineer,L8,45408,2661,0,3346,1846,11933,PRJ-101
EMP-00020,Victoria,Graves,Victoria Graves,59,Canadian,Pune,Data & AI,Data & AI Executive,L5,86217,6460,4740,1990,1668,5905,PRJ-102
EMP-00021,Sally,Oneal,Sally Oneal,33,British,Manchester,Engineering,Engineering Scientist,L10,120841,6508,0,1024,1467,10307,PRJ-104
EMP-00022,Sarah,Graves,Sarah Graves,42,Indian,Manchester,Sales & Marketing,Sales & Marketing Manager,L6,131807,7384,0,4675,1433,3830,PRJ-101
EMP-00023,Michael,Johnson,Michael Johnson,42,Australian,Sydney,Engineering,Engineering Manager,L2,87545,6431,0,1102,2859,6737,PRJ-104
EMP-00024,Michael,Williams,Michael Williams,22,Canadian,Toronto,Customer Support,Customer Support Manager,L3,142301,12150,0,4737,3362,3600,PRJ-102
EMP-00025,Joshua,Vasquez,Joshua Vasquez,27,British,Pune,Product,Product Executive,L10,147253,24850,0,3113,3347,10880,PRJ-104
EMP-00026,John,Davis,John Davis,49,Canadian,London,Data & AI,Data & AI Analyst,L1,64368,4012,0,1359,3064,9612,PRJ-103
EMP-00027,Sally,Graves,Sally Graves,59,American,Chennai,Operations,Operations Associate,L7,99013,11172,0,3064,2136,11080,PRJ-105
EMP-00028,Sally,Dixon,Sally Dixon,21,Canadian,New York,Engineering,Engineering Associate,L10,86261,11780,0,2958,3737,14858,PRJ-105
EMP-00029,Adam,Williams,Adam Williams,39,Indian,Toronto,HR,HR Scientist,L9,148240,20212,0,2292,2702,4759,PRJ-101
EMP-00030,Joshua,Lucas,Joshua Lucas,57,German,Berlin,Product,Product Associate,L1,43785,3044,3947,2512,3778,4640,PRJ-103
EMP-00031,David,Flores,David Flores,39,German,Delhi,Sales & Marketing,Sales & Marketing Executive,L3,43293,8092,3579,3913,2555,9056,PRJ-102
EMP-00032,Adam,Davis,Adam Davis,59,American,Pune,Operations,Operations Scientist,L5,104758,17792,0,3431,2139,6307,PRJ-101
EMP-00033,Jeremy,Lucas,Jeremy Lucas,33,Indian,New York,HR,HR Engineer,L8,56992,4527,0,4471,1934,14444,PRJ-105
EMP-00034,Adam,Hanson,Adam Hanson,36,British,Chennai,Sales & Marketing,Sales & Marketing Associate,L2,86899,8267,0,3179,2989,3555,PRJ-105
EMP-00035,Janet,Williams,Janet Williams,30,British,Manchester,Product,Product Manager,L10,99957,8480,0,1087,2948,9507,PRJ-102
EMP-00036,David,Vasquez,David Vasquez,53,Canadian,Delhi,Data & AI,Data & AI Analyst,L2,72000,5682,3055,3381,2879,14971,PRJ-104
EMP-00037,Adam,Smith,Adam Smith,27,British,Chennai,Product,Product Executive,L6,57708,9137,0,2569,3747,8279,PRJ-102
EMP-00038,Sally,Williams,Sally Williams,51,Canadian,New York,Customer Support,Customer Support Scientist,L10,118188,9151,0,3217,1794,6757,PRJ-104
EMP-00039,Michael,Graves,Michael Graves,51,Australian,Berlin,Engineering,Engineering Associate,L1,49897,4805,1855,4425,2742,5967,PRJ-103
EMP-00040,Sally,Bruce,Sally Bruce,29,Australian,Manchester,Sales & Marketing,Sales & Marketing Executive,L6,125134,8494,0,3355,3965,10619,PRJ-102
