employee_id,first_name,last_name,full_name,age,nationality,location,department,position,level,salary,bonus,arrears,conveyance_charge,monthly_lunch_plan,quarterly_spend_voucher
MIL-00001,Adam,Vasquez,Adam Vasquez,37,British,Manchester,Operations,Ops Executive,L9,687612,133922,4361,3174,3764,12796
MIL-00002,Janet,Bruce,Janet Bruce,44,Indian,Pune,Product,Product Manager,L10,700992,99391,0,1864,3532,6192
MIL-00003,Jeremy,Taylor,Jeremy Taylor,25,Indian,Delhi,Sales & Marketing,Director,L7,795181,161959,0,4048,2003,4065
MIL-00004,James,Oneal,James Oneal,50,Australian,Sydney,HR,HR Manager,L6,398390,54314,0,4232,3059,5682
MIL-00005,Joshua,Graves,Joshua Graves,52,Indian,Chennai,Sales & Marketing,Manager,L9,768313,99163,0,1981,1568,2291
MIL-00006,Briana,Flores,Briana Flores,42,British,Manchester,Data & AI,Data Analyst,L6,288412,68781,0,3587,2349,14237
MIL-00007,John,Dixon,John Dixon,21,Australian,Melbourne,Product,Product Manager,L1,49982,6027,0,2643,3328,11135
MIL-00008,Stephen,Hanson,Stephen Hanson,40,Indian,Chennai,Engineering,Engineering Manager,L4,115781,22425,0,2115,3787,9002
MIL-00009,Victoria,Davis,Victoria Davis,47,Australian,Melbourne,Customer Support,Team Lead,L10,411229,100277,2796,2834,2293,13943
MIL-00010,Sally,Lucas,Sally Lucas,24,Indian,Bangalore,Sales & Marketing,Marketing Associate,L9,588786,86773,0,3169,2258,13291
MIL-00011,Michael,Fisher,Michael Fisher,41,German,Munich,Engineering,Intern,L8,446946,94186,0,1948,3793,2330
MIL-00012,Rickey,Hodges,Rickey Hodges,27,American,New York,Sales & Marketing,Marketing Associate,L3,63132,15059,0,4382,2635,7586
MIL-00013,Sandra,Pitts,Sandra Pitts,43,British,London,Sales & Marketing,Manager,L10,595976,133097,0,2568,2394,11612
MIL-00014,Brenda,Martin,Brenda Martin,23,Australian,Sydney,Product,Associate PM,L1,41520,7104,9715,3032,2057,4368
MIL-00015,David,Baker,David Baker,51,American,Chicago,Finance,Manager,L6,344600,48813,0,4453,1598,2414
MIL-00016,Virginia,Peterson,Virginia Peterson,25,Indian,Chennai,Sales & Marketing,Sales Executive,L2,40211,4106,0,4740,2338,8074
MIL-00017,Heather,Rice,Heather Rice,46,American,Chicago,Finance,Analyst,L5,282235,60307,3259,1646,1719,3281
MIL-00018,Lindsay,Oconnor,Lindsay Oconnor,29,Indian,Bangalore,Finance,Senior Analyst,L8,709784,71237,4937,2704,3770,7468
MIL-00019,Sarah,Edwards,Sarah Edwards,41,Canadian,Toronto,Finance,Director,L1,31859,6160,0,3227,3889,3701
MIL-00020,Felicia,David,Felicia David,59,Australian,Sydney,Data & AI,AI Lead,L2,52400,7012,0,1595,3343,3574
MIL-00021,Gary,Allen,Gary Allen,32,British,Manchester,Operations,Director,L10,811897,135406,6889,1966,2955,12840
MIL-00022,Edward,Rocha,Edward Rocha,35,Canadian,Vancouver,Finance,Director,L4,141057,32907,0,1998,3738,8124
MIL-00023,Steve,Rosario,Steve Rosario,34,Canadian,Vancouver,HR,HR Associate,L5,361411,88168,0,2218,3937,13152
MIL-00024,Andrew,Elliott,Andrew Elliott,34,Canadian,Vancouver,Product,Senior PM,L8,474683,68876,0,4531,3021,6807
MIL-00025,Jacob,Thompson,Jacob Thompson,53,Canadian,Toronto,HR,HR Associate,L8,557359,67837,0,1814,3601,13741
MIL-00026,Eugene,Stark,Eugene Stark,54,German,Berlin,HR,HR Associate,L9,483197,75201,2390,1691,1777,8529
MIL-00027,Sherri,Bennett,Sherri Bennett,49,Indian,Mumbai,Customer Support,Team Lead,L10,607247,146716,2169,3881,2294,14155
MIL-00028,Julie,Reid,Julie Reid,58,Canadian,Toronto,Product,Product Manager,L10,721962,140299,0,4813,3245,11996
MIL-00029,Maurice,Martin,Maurice Martin,60,American,New York,Customer Support,Support Executive,L10,468315,62960,0,2251,1303,11651
MIL-00030,Anthony,Allen,Anthony Allen,46,American,New York,HR,HR Director,L10,802812,111841,6084,2721,3338,10027
MIL-00031,Michael,Bailey,Michael Bailey,52,American,San Francisco,Sales & Marketing,Director,L8,560028,105860,0,1993,1730,9923
MIL-00032,Gabriella,Cooper,Gabriella Cooper,30,British,Manchester,HR,HR Director,L5,358019,41970,0,2786,3664,5412
MIL-00033,Robert,Hunt,Robert Hunt,39,American,Chicago,Operations,Ops Executive,L8,410730,41613,0,2095,3302,14366
MIL-00034,Nancy,Hart,Nancy Hart,22,Canadian,Toronto,Sales & Marketing,Manager,L3,169029,34885,0,2452,2277,4283
MIL-00035,Holly,Bowen,Holly Bowen,59,Canadian,Vancouver,Finance,Director,L3,144894,36083,9849,2556,2623,11112
MIL-00036,Vincent,Gonzales,Vincent Gonzales,39,Australian,Sydney,Finance,Director,L5,386496,48597,0,1528,3515,5457
MIL-00037,Stacy,Harrell,Stacy Harrell,39,American,San Francisco,Finance,Director,L10,566098,84137,0,3113,2275,6142
MIL-00038,Nicole,Osborne,Nicole Osborne,39,Indian,Delhi,Sales & Marketing,Sales Executive,L4,136795,20907,0,2651,3237,5744
MIL-00039,Anthony,Morris,Anthony Morris,49,Australian,Sydney,Customer Support,Team Lead,L7,431720,67178,0,2236,3621,13798
MIL-00040,Tracy,English,Tracy English,27,Canadian,Toronto,HR,HR Manager,L1,52208,6625,5888,4090,2673,5403
MIL-00041,Nicole,Mills,Nicole Mills,29,Indian,Hyderabad,HR,HR Manager,L5,225804,43601,0,4136,3662,14638
MIL-00042,Rachel,Reyes,Rachel Reyes,29,American,New York,HR,HR Associate,L8,535071,86058,0,1882,1525,10874
MIL-00043,Derek,Bennett,Derek Bennett,42,British,Manchester,Data & AI,Data Scientist,L5,310010,46312,0,1930,2442,9266
MIL-00044,Rebekah,Pena,Rebekah Pena,30,Australian,Melbourne,Customer Support,Manager,L7,482186,60983,0,1691,1399,10160
MIL-00045,Larry,Anderson,Larry Anderson,37,Canadian,Toronto,Operations,Ops Manager,L4,106322,23886,5572,3022,1685,8624
MIL-00046,Bryan,Wilson,Bryan Wilson,53,German,Munich,Data & AI,AI Lead,L10,751111,144261,0,2407,1284,5886
MIL-00047,Kari,Holden,Kari Holden,57,German,Munich,HR,HR Associate,L10,521443,62293,3181,4825,2884,8084
MIL-00048,Maria,Waters,Maria Waters,43,Canadian,Vancouver,Operations,Ops Manager,L7,597845,131220,0,4520,3454,14656
MIL-00049,David,Hobbs,David Hobbs,50,German,Berlin,Product,Associate PM,L9,750535,103979,0,2362,3665,8596
MIL-00050,Danielle,Stanley,Danielle Stanley,48,Canadian,Vancouver,Operations,Ops Manager,L9,527892,91918,0,3986,1671,6773
MIL-00051,Jacob,Vincent,Jacob Vincent,28,American,San Francisco,Product,Associate PM,L1,48423,6253,0,4225,3340,6240
MIL-00052,Heather,Howard,Heather Howard,58,German,Munich,Sales & Marketing,Marketing Associate,L3,95681,23687,4249,3381,1559,14793
MIL-00053,Alexander,Duncan,Alexander Duncan,34,Canadian,Vancouver,Finance,Analyst,L3,124659,31119,0,3643,2300,14208
MIL-00054,Luis,Owens,Luis Owens,30,American,Chicago,HR,HR Director,L2,27582,6682,0,1673,3589,4781
MIL-00055,Veronica,Odonnell,Veronica Odonnell,51,British,London,Operations,Ops Executive,L4,102850,11111,0,4324,2127,14941
MIL-00056,Hannah,Cummings,Hannah Cummings,25,Indian,Pune,Sales & Marketing,Marketing Associate,L1,43145,6022,0,4775,1730,2405
MIL-00057,Heidi,Sanchez,Heidi Sanchez,50,Canadian,Vancouver,Sales & Marketing,Sales Executive,L4,112788,19025,0,4849,2083,10659
MIL-00058,Kara,Tran,Kara Tran,55,German,Berlin,Operations,Ops Manager,L6,309651,43569,0,2466,2364,12577
MIL-00059,Nicole,Owens,Nicole Owens,39,Indian,Mumbai,Engineering,Senior Engineer,L4,130798,20651,0,3504,2323,13838
MIL-00060,Cheryl,Charles,Cheryl Charles,54,British,London,Finance,Director,L3,65161,15744,5886,4334,2746,13333
MIL-00061,Stephanie,Morgan,Stephanie Morgan,44,German,Munich,Customer Support,Manager,L6,388236,90792,0,1945,1274,9860
